,state,vote,V201103,V201105,V201114,V201115,V201116,V201117,V201118,V201119,V201120,V201121,V201122,V201123,V201200,V201202,V201203,V201208,V201209,V201210,V201211,V201212,V201213,V201214,V201215,V201217,V201218,V201221,V201233,V201234,V201235,V201236,V201237,V201246,V201249,V201252,V201255,V201258,V201262,V201303,V201306,V201309,V201312,V201315,V201321,V201324,V201325,V201328,V201334,V201346,V201353,V201354,V201366,V201369,news,V201379,V201390,state covid,V201394,V201397,V201401,V201403,V201409,V201417,V201427,blm,V201430,V201433,V201435,V201502,V201503,V201507x,education,race,V201553,V201567,V201575,V201592,V201593,V201600,V201602,V201603,V201617x,V201620,V201626,V201627,V201628,V201639,V201640,V201651,recode education
3028,6,Donald Trump,2,2,2,2,3,3,3,2,4,2,4,4,7,1,6,5,3,4,5,2,1,1,2,2,1,-1,3,2,1,3,2,4,5,3,5,3,6,3,1,3,3,3,3,2,3,1,3,3,1,2,4,3,None,2,3,Far too strict,2,1,3,3,1,2,1,6,1,1,1,3,3,80,some college,white,1,0,53,2,1,1,1,1,1,1,2,4,1,2,4,1,Less than bachelor's
3029,12,Donald Trump,2,2,2,2,3,3,3,1,4,2,4,3,6,2,6,5,5,4,4,1,4,3,4,2,1,1,4,1,1,2,3,4,3,5,7,7,4,2,1,3,3,1,3,1,1,1,3,3,2,3,5,3,None,1,3,Far too strict,2,3,2,2,1,2,2,7,1,1,1,2,2,58,HS,white,1,0,12,2,1,1,1,1,18,1,4,3,2,4,4,1,Less than bachelor's
3030,4,Donald Trump,2,2,1,3,3,2,3,3,2,3,2,2,5,2,6,3,3,3,3,2,2,1,2,2,1,-1,4,1,1,2,2,3,7,4,4,4,3,1,1,1,2,1,3,3,3,1,3,1,1,2,3,5,A little,2,3,About right,3,1,3,1,1,3,1,4,1,3,12,3,3,62,some college,white,1,0,26,2,1,1,1,1,7,1,2,2,0,3,5,2,Less than bachelor's
3031,36,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,99,-9,-9,4,2,2,2,5,5,5,5,1,2,2,3,1,2,2,3,7,4,1,3,2,3,1,2,1,3,1,1,4,3,3,1,1,5,2,1,1,A moderate amount,1,3,About right,3,1,3,1,2,3,3,1,3,3,12,3,2,48,assoc. academ.,Black,2,2,36,2,2,2,1,1,6,1,2,3,0,3,4,1,Less than bachelor's
3032,36,Donald Trump,2,-1,1,4,2,3,2,3,2,3,3,2,4,5,5,3,3,3,3,3,3,4,2,2,2,-1,2,2,3,4,3,4,2,3,3,2,2,2,3,2,3,2,3,2,3,3,2,2,2,2,3,3,A moderate amount,2,1,Somewhat too strict,3,3,3,3,1,2,4,1,2,4,2,3,3,35,master's,white,1,0,36,2,1,1,1,1,21,1,2,3,1,2,2,3,Bachelor's or more
3033,6,Joe Biden,1,-1,2,5,4,5,4,5,4,2,4,2,4,2,4,2,2,1,1,3,5,4,5,1,1,1,4,1,2,4,2,7,7,1,1,1,1,1,3,3,3,1,3,4,1,3,2,1,1,1,4,4,A moderate amount,1,2,Not quite strict enough,3,1,1,1,1,3,1,1,3,2,1,3,1,43,bachelor's,Black,3,0,59,2,1,1,1,3,8,2,3,2,0,1,1,5,Bachelor's or more
3034,29,Donald Trump,2,-1,1,1,3,3,2,1,4,3,4,2,6,1,5,5,5,5,4,1,2,1,3,2,1,1,4,1,1,3,3,3,5,7,7,7,7,3,1,3,2,1,2,3,2,2,2,3,1,2,1,4,None,1,3,Somewhat too strict,2,1,2,1,1,4,1,6,1,2,1,3,2,48,some college,white,1,2,29,2,1,1,1,3,10,1,4,4,0,3,3,-5,Less than bachelor's
3035,17,Joe Biden,1,1,2,3,5,5,5,1,5,1,5,5,2,2,7,2,2,2,2,5,5,5,5,1,2,-1,4,2,2,4,4,6,2,1,3,1,1,1,1,1,1,1,1,4,3,3,1,1,3,1,5,5,A moderate amount,1,2,Not nearly strict enough,3,1,1,1,2,3,2,1,3,5,10,5,5,43,bachelor's,white,1,2,29,2,2,1,1,1,17,1,1,2,0,2,4,4,Bachelor's or more
3036,25,Joe Biden,1,1,2,3,5,5,5,1,5,1,5,5,1,3,5,2,2,2,1,5,5,5,5,1,1,1,3,1,2,3,2,6,2,1,2,1,1,1,2,2,1,1,1,4,3,2,2,1,3,1,5,5,A lot,1,2,Not quite strict enough,3,1,1,1,2,4,2,1,2,3,10,3,3,53,bachelor's,white,1,2,19,2,1,2,1,1,22,1,1,2,0,5,5,2,Bachelor's or more
3037,12,Joe Biden,-1,-1,1,5,5,5,5,1,5,1,5,5,6,6,1,1,1,1,1,5,5,5,5,1,1,1,3,1,1,4,2,5,6,7,5,1,3,1,3,3,3,1,3,2,3,1,2,1,1,3,4,3,A lot,1,2,Not quite strict enough,2,1,1,1,2,3,1,1,2,3,11,5,2,59,some college,Black,1,2,12,2,1,1,1,1,12,1,2,2,0,3,4,1,Less than bachelor's
3038,29,Joe Biden,-1,-1,2,3,3,4,3,3,3,1,3,3,4,2,6,2,1,2,1,5,5,4,4,1,1,-1,4,1,1,3,5,7,5,4,1,1,1,1,1,1,1,1,1,5,3,2,3,2,4,3,5,5,A little,1,2,Not nearly strict enough,1,1,1,1,1,3,1,1,1,4,11,3,1,24,HS,Black,1,0,29,2,2,2,5,1,1,2,2,1,0,3,5,2,Less than bachelor's
3039,12,Joe Biden,1,1,2,3,4,1,4,1,5,1,4,4,99,4,4,1,1,1,1,5,5,5,5,1,2,3,5,1,2,5,4,99,99,99,99,99,99,1,3,1,3,1,1,4,3,3,1,1,5,3,5,4,A lot,1,2,Not nearly strict enough,2,1,1,1,2,3,1,Haven't thought much about this,3,5,2,4,1,80,some college,white,1,0,12,2,2,1,1,3,1,1,1,3,0,3,3,2,Less than bachelor's
3040,26,Joe Biden,1,1,2,1,4,4,4,1,5,1,4,4,3,4,3,2,1,2,2,5,5,5,5,1,1,1,3,1,1,3,2,6,1,3,99,2,1,3,2,3,3,3,1,4,3,2,1,1,4,1,4,5,A lot,1,2,Not quite strict enough,3,1,1,3,2,3,2,1,2,3,2,3,3,55,some college,white,1,1,26,2,3,1,1,3,15,1,2,2,6,2,4,3,Less than bachelor's
3041,51,Joe Biden,1,1,2,3,4,5,4,3,5,2,4,3,4,6,1,1,2,1,1,4,4,4,4,1,1,1,4,1,1,5,3,7,99,7,1,1,99,1,1,1,1,1,3,4,3,1,3,1,3,3,3,4,A moderate amount,2,2,Not quite strict enough,3,1,1,3,2,3,2,1,3,1,11,2,1,50,some college,Black,1,0,32,2,1,2,1,3,6,1,1,2,0,5,5,1,Less than bachelor's
3042,5,Joe Biden,-1,-1,2,1,5,5,4,1,5,1,4,5,3,2,7,3,2,2,3,5,5,5,5,1,1,1,4,1,2,2,4,5,4,2,2,4,1,1,2,1,1,1,1,4,3,3,2,1,4,2,4,1,A moderate amount,1,2,Not nearly strict enough,1,1,1,1,2,4,1,1,3,3,11,2,3,22,bachelor's,Hispanic,2,0,5,2,1,2,1,3,2,1,1,2,0,5,3,2,Bachelor's or more
3043,48,Donald Trump,2,-1,2,4,3,3,1,3,5,3,3,1,6,2,6,4,4,4,4,1,1,2,2,2,1,1,2,2,2,4,2,5,5,4,5,7,6,3,1,1,3,1,3,3,3,2,3,1,4,2,3,4,A little,2,3,About right,2,3,3,3,1,2,1,3,1,1,1,1,1,57,bachelor's,Hispanic,1,0,57,2,4,1,1,3,17,1,2,1,1,2,4,2,Bachelor's or more
3044,36,Joe Biden,2,1,2,1,5,5,5,1,5,1,5,5,2,2,2,2,2,2,2,5,5,5,5,1,1,1,2,1,1,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,None,1,1,Not quite strict enough,1,1,1,1,1,2,1,2,2,2,12,3,3,78,HS,Multiracial,1,0,36,1,2,2,2,1,1,1,3,1,0,5,5,2,Less than bachelor's
3045,32,Joe Biden,-1,-1,2,3,5,5,5,1,5,1,5,5,3,2,7,3,2,2,3,5,5,5,5,1,1,1,4,1,1,2,4,6,4,3,99,1,1,1,2,3,1,1,1,4,3,3,2,1,2,1,5,5,A little,1,2,Not nearly strict enough,2,1,1,1,2,3,2,2,2,5,5,4,4,20,HS,Hispanic,1,0,32,1,4,2,2,1,8,1,3,5,0,5,5,3,Less than bachelor's
3046,12,Donald Trump,5,2,1,4,2,2,2,3,2,4,2,3,5,2,5,5,4,4,5,2,2,4,3,2,1,1,2,2,1,4,2,2,4,4,5,4,4,3,3,3,3,1,3,2,2,1,3,2,1,2,4,5,A little,1,3,About right,3,1,3,1,1,3,3,5,3,4,12,3,3,42,master's,white,1,2,12,2,1,1,1,1,22,1,3,1,1,4,4,3,Bachelor's or more
3047,24,Joe Biden,1,1,2,4,1,4,2,1,4,1,5,3,5,4,7,1,1,1,1,5,5,5,5,1,2,-1,5,1,2,4,2,99,99,99,99,5,1,1,3,2,3,1,1,4,3,1,3,1,5,1,5,5,A great deal,1,2,Not nearly strict enough,1,1,1,1,2,3,1,1,2,2,11,3,2,55,assoc. academ.,Black,1,3,11,2,2,1,1,1,1,1,1,1,0,3,3,1,Less than bachelor's
3048,40,Donald Trump,-1,-1,2,3,5,5,4,2,5,3,5,5,6,1,6,5,4,5,5,2,2,2,3,2,1,1,2,2,2,4,3,4,99,6,2,6,4,1,1,3,2,1,3,4,3,2,1,3,2,2,2,3,None,2,3,Not quite strict enough,1,1,3,1,1,3,1,7,3,1,1,3,3,18,less than HS,white,1,0,40,2,5,1,1,3,1,1,4,2,5,1,1,2,Less than bachelor's
3049,51,Joe Biden,-1,-1,2,2,2,3,2,2,3,1,3,4,3,4,7,3,2,2,3,4,4,5,5,1,1,2,3,1,2,3,4,5,2,3,99,99,4,1,2,3,1,3,1,4,3,3,2,2,3,3,3,5,A little,1,2,Not quite strict enough,1,3,1,1,2,3,2,1,3,1,1,3,3,18,assoc. academ.,Hispanic,3,2,51,2,3,2,1,1,10,1,3,3,0,3,4,3,Less than bachelor's
3050,33,Donald Trump,-1,-1,2,2,3,3,2,2,4,2,3,3,4,2,6,5,4,5,4,3,3,3,3,1,1,-1,2,2,1,4,3,99,99,99,4,3,4,3,2,3,2,3,1,1,1,3,3,1,1,2,5,3,A moderate amount,1,3,About right,3,1,1,1,2,3,1,4,3,4,1,3,3,-9,some college,white,1,0,33,2,1,2,1,3,17,1,2,1,0,5,5,1,Less than bachelor's
3051,50,Joe Biden,1,1,2,3,5,5,5,1,5,1,5,5,2,3,7,3,2,2,4,5,5,5,5,1,1,-1,3,2,2,4,2,7,1,1,2,1,1,1,2,2,1,1,1,3,2,2,2,1,2,3,5,5,A great deal,1,2,Not quite strict enough,3,1,1,1,2,3,3,1,2,3,7,2,2,36,bachelor's,Asian,3,1,26,2,1,1,1,1,19,1,1,2,0,5,5,2,Bachelor's or more
3052,53,Donald Trump,2,2,1,4,4,4,4,1,3,3,4,4,6,1,7,5,5,5,5,1,2,2,3,2,2,1,3,1,1,3,2,4,7,4,7,7,7,1,1,1,2,1,3,2,1,1,3,1,2,2,3,4,None,2,3,Far too strict,2,2,3,3,1,3,1,7,1,4,4,3,2,57,HS,white,1,0,53,2,3,1,1,2,1,2,4,1,0,2,5,2,Less than bachelor's
3053,6,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,4,6,3,3,3,2,5,5,5,5,2,1,2,3,1,1,2,3,5,2,3,4,2,1,1,2,3,1,1,1,5,3,3,1,1,2,1,5,5,A little,1,2,Not nearly strict enough,1,1,1,3,2,4,2,1,2,3,2,3,4,61,some college,white,1,0,6,2,1,2,1,1,22,1,1,5,0,5,5,3,Less than bachelor's
3054,-1,Joe Biden,-1,-1,2,1,4,5,4,1,4,1,4,4,2,2,7,4,4,3,3,5,5,5,5,1,2,-1,3,1,2,2,4,7,3,3,1,1,1,1,2,3,1,3,1,4,3,2,1,1,2,1,4,5,A little,1,2,Not nearly strict enough,1,1,1,1,2,3,3,1,2,5,12,4,3,21,some college,Hispanic,3,4,6,1,5,2,3,3,7,2,1,4,0,5,5,2,Less than bachelor's
